Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-06 16:00:00+08:00,26201.01953125,26201.01953125,26201.01953125,26201.01953125,26201.01953125,0,CDLDOJI_Bull,1.0,Buy
2021-08-06 16:05:00+08:00,26201.01953125,26201.01953125,26179.400390625,26179.400390625,26179.400390625,0,CDLSEPARATINGLINES_Bear,4.0,Sell
2021-08-09 09:30:00+08:00,25969.23046875,26068.8203125,25920.849609375,26035.33984375,26035.33984375,0,NO_PATTERN,0.0,None
2021-08-09 09:35:00+08:00,26037.2109375,26169.509765625,26035.990234375,26146.939453125,26146.939453125,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-09 09:40:00+08:00,26149.75,26244.380859375,26137.599609375,26233.560546875,26233.560546875,0,NO_PATTERN,0.0,None
2021-08-09 09:45:00+08:00,26240.630859375,26283.560546875,26209.220703125,26213.609375,26213.609375,0,NO_PATTERN,0.0,None
2021-08-09 09:50:00+08:00,26217.330078125,26234.44921875,26155.41015625,26155.41015625,26155.41015625,0,CDLCLOSINGMARUBOZU_Bear,1.0,Sell
2021-08-09 09:55:00+08:00,26158.189453125,26204.279296875,26141.890625,26146.169921875,26146.169921875,0,CDL3BLACKCROWS_Bear,2.0,Sell
2021-08-09 10:00:00+08:00,26149.580078125,26304.880859375,26149.3203125,26274.0,26274.0,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-09 10:05:00+08:00,26272.2890625,26355.4296875,26272.2890625,26355.4296875,26355.4296875,0,CDLBELTHOLD_Bull,3.0,Buy
2021-08-09 10:10:00+08:00,26358.580078125,26414.140625,26351.4609375,26399.119140625,26399.119140625,0,NO_PATTERN,0.0,None
2021-08-09 10:15:00+08:00,26397.76953125,26435.80078125,26392.48046875,26394.73046875,26394.73046875,0,CDLLONGLEGGEDDOJI_Bull,3.0,Buy
2021-08-09 10:20:00+08:00,26395.490234375,26421.2890625,26388.279296875,26394.9296875,26394.9296875,0,CDLMATCHINGLOW_Bull,7.0,Buy
2021-08-09 10:25:00+08:00,26393.890625,26394.810546875,26356.349609375,26356.5,26356.5,0,NO_PATTERN,0.0,None
2021-08-09 10:30:00+08:00,26353.5,26408.419921875,26353.240234375,26404.859375,26404.859375,0,CDLBELTHOLD_Bull,4.0,Buy
2021-08-09 10:35:00+08:00,26410.310546875,26419.23046875,26394.009765625,26407.869140625,26407.869140625,0,CDL3OUTSIDE_Bull,7.0,Buy
2021-08-09 10:40:00+08:00,26409.669921875,26458.23046875,26409.669921875,26453.0,26453.0,0,CDLSEPARATINGLINES_Bull,4.0,Buy
2021-08-09 10:45:00+08:00,26457.310546875,26504.19921875,26456.75,26495.58984375,26495.58984375,0,NO_PATTERN,0.0,None
2021-08-09 10:50:00+08:00,26493.1796875,26495.130859375,26452.869140625,26461.759765625,26461.759765625,0,NO_PATTERN,0.0,None
2021-08-09 10:55:00+08:00,26461.1796875,26490.310546875,26457.25,26478.0,26478.0,0,NO_PATTERN,0.0,None
2021-08-09 11:00:00+08:00,26482.109375,26501.859375,26460.75,26496.150390625,26496.150390625,0,CDLHIKKAKE_Bear,1.0,Sell
